,Name,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood,Type_1,Type_2,Type_3,Type_4
1679,مطعم قارب البحار للمأكولات البحرية,3.9,17.0,44.39111739999999,24.5048921,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس,restaurant, point_of_interest, food, establishment
1680,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,lodging, restaurant, point_of_interest, food
1681,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1682,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,spa, lodging, restaurant, food
1683,Dining Hall,3.0,27.0,46.6196551,24.7209893,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1684,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1685,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1686,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,"['bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",حي الخليج,bakery, restaurant, food, store
1687,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1688,KFC,3.7,2198.0,46.737091,24.59506409999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1689,McDonald's,3.9,2735.0,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1690,Domino's Pizza,3.8,589.0,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,meal_delivery, meal_takeaway, restaurant, point_of_interest
1691,Mama Noura,4.3,23691.0,46.70188479999999,24.6916263,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1692,Burger King - Al Quds,3.6,1707.0,46.740762,24.75733899999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1693,Derati Restaurant,3.7,1331.0,46.58854249999999,24.6368753,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1694,Kudu - Al Rayyan,3.8,1803.0,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, meal_delivery, meal_takeaway, food
1695,Dominos,3.8,639.0,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,meal_delivery, meal_takeaway, restaurant, food
1696,Derati Restaurants & Kitchens,3.8,994.0,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1697,Hardee's,3.3,827.0,46.6436339,24.6008518,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1698,KFC,3.5,975.0,46.6441676,24.6004069,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1699,Kudu - Al Malaz,3.9,1944.0,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, meal_delivery, meal_takeaway, point_of_interest
1700,قصر الهند,3.8,6168.0,46.75289959999999,24.75744370000001,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1701,Mama Noura,4.1,11464.0,46.6653609,24.5717473,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1702,Herfy,3.8,1376.0,46.6983362,24.6940569,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1703,Al Romansiah,4.1,8499.0,46.81412389999999,24.7587183,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1704,Al Jalab Restaurant,4.3,1543.0,46.6870006,24.7337823,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1705,Diet Center - دايت سنتر,4.1,74.0,46.784153,24.681048,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'health', 'establishment']",حي الخليج,grocery_or_supermarket, restaurant, food, store
1706,Herfy,3.7,380.0,46.6575254,24.7559561,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1707,KFC,3.6,1452.0,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1708,Kudu - Al Seteen Palace,3.9,2399.0,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, meal_delivery, meal_takeaway, point_of_interest
1709,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.7,649.0,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,meal_delivery, restaurant, food, point_of_interest
1710,Al Saudi Restaurant,3.9,4618.0,46.70311350000001,24.6957429,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1711,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,719.0,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,meal_delivery, restaurant, food, point_of_interest
1712,Burger King - Bin Turkey,3.7,681.0,46.619087,24.746228,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1713,Al Nafoura Restaurant,3.3,1007.0,46.6251475,24.5884052,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1714,KFC,3.6,1311.0,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1715,TOKYO,4.3,7203.0,46.68670509999999,24.7181459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1716,Kudu - Al Wurud,4.0,1024.0,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, meal_delivery, meal_takeaway, point_of_interest
1717,Sheikh Al-Mandi Restaurant,3.5,2022.0,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1718,Subway,3.7,452.0,46.7834343,24.7289012,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1719,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,790.0,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,meal_delivery, restaurant, point_of_interest, food
1720,Herfy,3.8,896.0,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1721,برجر كاسل,4.1,1057.0,46.6345087,24.714561,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1722,وايت قاردن,4.2,4534.0,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, bar, night_club, food
1723,Al Romansiah,4.2,9584.0,46.7069578,24.5620929,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1724,Burger King - Exit 28,3.8,1294.0,46.6212052,24.5681274,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1725,Al Tazaj,3.6,4796.0,46.6443952,24.6002206,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1726,McDonald's,3.9,3568.0,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1727,McDonald's,3.7,2042.0,46.640038,24.598766,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1728,Herfy,3.5,746.0,46.675,24.6755556,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1729,Fairmont Riyadh,4.7,5105.0,46.7182893,24.8082207,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,lodging, restaurant, point_of_interest, food
1730,Subway,3.8,341.0,46.65607869999999,24.608878,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1731,KFC,3.8,1219.0,46.6889225,24.62540690000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1732,Burger King - Exit 8 Dammam Rd,3.7,1210.0,46.743149,24.800591,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1733,Al Romansiah Restaurant - Al Nasseem District,4.2,8154.0,46.81462699999999,24.7335149,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1734,Al Romansiah,4.2,9460.0,46.792399,24.695811,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1735,Herfy,3.6,872.0,46.750084,24.7795459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1736,Herfy,3.8,1081.0,46.7975115,24.7809607,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1737,KFC,3.5,1825.0,46.76440969999999,24.7327532,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1738,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج,restaurant, point_of_interest, food, establishment
1739,Herfy,3.6,1244.0,46.7824895,24.6680854,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج,restaurant, food, point_of_interest, establishment
1740,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,lodging, restaurant, food, point_of_interest
1741,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,restaurant, food, point_of_interest, establishment
1742,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,spa, lodging, restaurant, food
1743,Dining Hall,3.0,27.0,46.6196551,24.7209893,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الحمراء,restaurant, point_of_interest, food, establishment
1744,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,restaurant, food, point_of_interest, establishment
1745,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,restaurant, food, point_of_interest, establishment
1746,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,bakery, store, restaurant, food
1747,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,restaurant, food, point_of_interest, establishment
1748,KFC,3.7,2198.0,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,restaurant, food, point_of_interest, establishment
1749,McDonald's,3.9,2735.0,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,restaurant, food, point_of_interest, establishment
1750,Domino's Pizza,3.8,589.0,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الحمراء,meal_delivery, meal_takeaway, restaurant, food
1751,Mama Noura,4.3,23691.0,46.70188479999999,24.6916263,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الحمراء,restaurant, point_of_interest, food, establishment
