,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
32,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 449 6563,3.9,790,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
33,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 470 7591,3.9,719,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
34,Burger King - Bin Turkey,,3.7,681,46.619087,24.746228,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
35,Burger King - Exit 28,,3.8,1294,46.6212052,24.5681274,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
36,KFC,9200 21111,3.6,1311,46.713719,24.6382089,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
37,TOKYO,9200 09662,4.3,7203,46.68670509999999,24.7181459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
38,Sheikh Al-Mandi Restaurant,011 464 4099,3.5,2022,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
39,Kudu - Al Wurud,9200 06999,4.0,1024,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الملز
40,Al Romansiah,9200 00144,4.2,9584,46.7069578,24.5620929,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
41,Subway,,3.7,452,46.7834343,24.7289012,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
42,Herfy,9200 01111,3.8,896,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
43,برجر كاسل,011 281 8775,4.1,1057,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
44,وايت قاردن,011 462 7799,4.2,4534,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'point_of_interest', 'food', 'establishment']",حي الملز
45,Al Tazaj,9200 00765,3.6,4796,46.6443952,24.6002206,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
46,McDonald's,800 121 2345,3.7,2042,46.640038,24.598766,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
47,Subway,,3.8,341,46.65607869999999,24.608878,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
48,McDonald's,800 121 2345,3.9,3568,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
49,KFC,9200 21111,3.8,1219,46.6889225,24.62540690000001,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
50,Herfy,9200 01111,3.5,746,46.675,24.6755556,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
51,Fairmont Riyadh,011 826 2626,4.7,5105,46.7182893,24.8082207,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
52,Burger King - Exit 8 Dammam Rd,,3.7,1210,46.743149,24.800591,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
53,Al Romansiah Restaurant - Al Nasseem District,9200 00144,4.2,8154,46.81462699999999,24.7335149,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
54,Al Romansiah,9200 00144,4.2,9460,46.792399,24.695811,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
55,KFC,9200 21111,3.5,1825,46.76440969999999,24.7327532,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
56,Herfy,9200 01111,3.6,872,46.750084,24.7795459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
57,Herfy,9200 01111,3.8,1081,46.7975115,24.7809607,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
58,Burger King - Rawdah,,3.7,1370,46.76226500000001,24.735643,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الملز
59,KFC,9200 21111,3.4,1705,46.61225279999999,24.5724179,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الملز
60,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
61,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
62,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
63,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
64,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
65,Najd Village,9200 33511,3.9,11310,46.70469529999999,24.7426043,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
66,Wooden Bakery,050 133 8321,4.3,10550,46.7226815,24.6941192,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",حي الربوة
67,Najd Village,9200 33511,3.8,8468,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
68,KFC,9200 21111,3.7,2198,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
69,McDonald's,800 121 2345,3.9,2735,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
70,Domino's Pizza,9200 12345,3.8,589,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
71,Mama Noura,9200 12026,4.3,23691,46.70188479999999,24.6916263,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
72,Burger King - Al Quds,,3.6,1707,46.740762,24.75733899999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
73,Derati Restaurant,011 202 0203,3.7,1331,46.58854249999999,24.6368753,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
74,Kudu - Al Rayyan,9200 06999,3.8,1803,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الربوة
75,Dominos,9200 12345,3.8,639,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
76,Derati Restaurants & Kitchens,9200 08273,3.8,994,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
77,Hardee's,9200 01213,3.3,827,46.6436339,24.6008518,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
78,KFC,9200 21111,3.5,975,46.6441676,24.6004069,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
79,Kudu - Al Malaz,9200 06999,3.9,1944,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الربوة
80,Mama Noura,011 266 6623,4.1,11464,46.6653609,24.5717473,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
81,قصر الهند,011 278 2394,3.8,6168,46.75289959999999,24.75744370000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
82,Herfy,9200 01111,3.8,1376,46.6983362,24.6940569,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
83,Al Jalab Restaurant,011 450 7979,4.3,1543,46.6870006,24.7337823,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
84,Al Romansiah,9200 00144,4.1,8499,46.81412389999999,24.7587183,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
85,Al Nafoura Restaurant,011 267 0815,3.3,1007,46.6251475,24.5884052,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
86,Diet Center - دايت سنتر,9200 17373,4.1,74,46.784153,24.681048,"['health', 'grocery_or_supermarket', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
87,Herfy,9200 01111,3.7,380,46.6575254,24.7559561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
88,KFC,9200 21111,3.6,1452,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
89,Kudu - Al Seteen Palace,9200 06999,3.9,2399,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الربوة
90,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 455 9562,3.7,649,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
91,Al Saudi Restaurant,9200 09515,3.9,4618,46.70311350000001,24.6957429,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
92,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 470 7591,3.9,719,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
93,Burger King - Bin Turkey,,3.7,681,46.619087,24.746228,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
94,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 449 6563,3.9,790,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
95,Burger King - Exit 28,,3.8,1294,46.6212052,24.5681274,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
96,KFC,9200 21111,3.6,1311,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
97,TOKYO,9200 09662,4.3,7203,46.68670509999999,24.7181459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
98,Sheikh Al-Mandi Restaurant,011 464 4099,3.5,2022,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
99,Kudu - Al Wurud,9200 06999,4.0,1024,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الربوة
100,Al Romansiah,9200 00144,4.2,9584,46.7069578,24.5620929,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
101,Subway,,3.7,452,46.7834343,24.7289012,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
102,Herfy,9200 01111,3.8,896,46.6736126,24.7609124,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
103,برجر كاسل,011 281 8775,4.1,1057,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
104,وايت قاردن,011 462 7799,4.2,4534,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'point_of_interest', 'food', 'establishment']",حي الربوة
105,Al Tazaj,9200 00765,3.6,4796,46.6443952,24.6002206,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
106,McDonald's,800 121 2345,3.7,2042,46.640038,24.598766,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
107,Subway,,3.8,341,46.65607869999999,24.608878,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
108,McDonald's,800 121 2345,3.9,3568,46.794646,24.713222,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
109,Herfy,9200 01111,3.5,746,46.675,24.6755556,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
110,KFC,9200 21111,3.8,1219,46.6889225,24.62540690000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
111,Fairmont Riyadh,011 826 2626,4.7,5105,46.7182893,24.8082207,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
112,Burger King - Exit 8 Dammam Rd,,3.7,1210,46.743149,24.800591,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
113,Al Romansiah Restaurant - Al Nasseem District,9200 00144,4.2,8154,46.81462699999999,24.7335149,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
114,Al Romansiah,9200 00144,4.2,9460,46.792399,24.695811,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
115,Herfy,9200 01111,3.6,872,46.750084,24.7795459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
116,KFC,9200 21111,3.5,1825,46.76440969999999,24.7327532,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
117,Herfy,9200 01111,3.8,1081,46.7975115,24.7809607,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
118,Burger King - Rawdah,,3.7,1370,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة
119,KFC,9200 21111,3.8,2246,46.6647609,24.7045778,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة
120,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
121,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755,46.5764369,24.85175139999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
122,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
123,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
124,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
125,Najd Village,9200 33511,3.9,11310,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
126,Wooden Bakery,050 133 8321,4.3,10550,46.7226815,24.6941192,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",حي الوزارات
127,Najd Village,9200 33511,3.8,8468,46.66923329999999,24.6976883,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
128,KFC,9200 21111,3.7,2198,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
129,McDonald's,800 121 2345,3.9,2735,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
130,Domino's Pizza,9200 12345,3.8,589,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
131,Mama Noura,9200 12026,4.3,23691,46.70188479999999,24.6916263,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
132,Burger King - Al Quds,,3.6,1707,46.740762,24.75733899999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
133,Derati Restaurant,011 202 0203,3.7,1331,46.58854249999999,24.6368753,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
134,Kudu - Al Rayyan,9200 06999,3.8,1803,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الوزارات
135,Dominos,9200 12345,3.8,639,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
136,Derati Restaurants & Kitchens,9200 08273,3.8,994,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
137,Hardee's,9200 01213,3.3,827,46.6436339,24.6008518,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
138,KFC,9200 21111,3.5,975,46.6441676,24.6004069,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
139,Kudu - Al Malaz,9200 06999,3.9,1944,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الوزارات
140,Mama Noura,011 266 6623,4.1,11464,46.6653609,24.5717473,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
141,قصر الهند,011 278 2394,3.8,6168,46.75289959999999,24.75744370000001,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
142,Herfy,9200 01111,3.8,1376,46.6983362,24.6940569,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
143,Al Jalab Restaurant,011 450 7979,4.3,1543,46.6870006,24.7337823,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
144,Al Romansiah,9200 00144,4.1,8499,46.81412389999999,24.7587183,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
145,Al Nafoura Restaurant,011 267 0815,3.3,1007,46.6251475,24.5884052,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
146,Diet Center - دايت سنتر,9200 17373,4.1,74,46.784153,24.681048,"['health', 'grocery_or_supermarket', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
147,Herfy,9200 01111,3.7,380,46.6575254,24.7559561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
148,KFC,9200 21111,3.6,1452,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
149,Kudu - Al Seteen Palace,9200 06999,3.9,2399,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الوزارات
150,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 455 9562,3.7,649,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
151,Al Saudi Restaurant,9200 09515,3.9,4618,46.70311350000001,24.6957429,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
152,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 449 6563,3.9,790,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
153,Burger King - Bin Turkey,,3.7,681,46.619087,24.746228,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
154,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 470 7591,3.9,719,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
155,Burger King - Exit 28,,3.8,1294,46.6212052,24.5681274,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
156,KFC,9200 21111,3.6,1311,46.713719,24.6382089,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
157,TOKYO,9200 09662,4.3,7203,46.68670509999999,24.7181459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
158,Sheikh Al-Mandi Restaurant,011 464 4099,3.5,2022,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
159,Kudu - Al Wurud,9200 06999,4.0,1024,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الوزارات
160,Al Romansiah,9200 00144,4.2,9584,46.7069578,24.5620929,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
161,Subway,,3.7,452,46.7834343,24.7289012,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
162,Herfy,9200 01111,3.8,896,46.6736126,24.7609124,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
163,برجر كاسل,011 281 8775,4.1,1057,46.6345087,24.714561,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
164,وايت قاردن,011 462 7799,4.2,4534,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'food', 'point_of_interest', 'establishment']",حي الوزارات
165,Al Tazaj,9200 00765,3.6,4796,46.6443952,24.6002206,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
166,McDonald's,800 121 2345,3.7,2042,46.640038,24.598766,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
167,Subway,,3.8,341,46.65607869999999,24.608878,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
168,McDonald's,800 121 2345,3.9,3568,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
169,Herfy,9200 01111,3.5,746,46.675,24.6755556,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
170,KFC,9200 21111,3.8,1219,46.6889225,24.62540690000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
171,Fairmont Riyadh,011 826 2626,4.7,5105,46.7182893,24.8082207,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
172,Burger King - Exit 8 Dammam Rd,,3.7,1210,46.743149,24.800591,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
173,Al Romansiah Restaurant - Al Nasseem District,9200 00144,4.2,8154,46.81462699999999,24.7335149,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
174,Al Romansiah,9200 00144,4.2,9460,46.792399,24.695811,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
175,Herfy,9200 01111,3.6,872,46.750084,24.7795459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
176,KFC,9200 21111,3.5,1825,46.76440969999999,24.7327532,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
177,Herfy,9200 01111,3.8,1081,46.7975115,24.7809607,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات
178,Burger King - Rawdah,,3.7,1370,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
179,KFC,9200 21111,3.4,1705,46.61225279999999,24.5724179,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات
180,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي جرير
181,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي جرير
182,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي جرير
183,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي جرير
184,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي جرير
185,Najd Village,9200 33511,3.9,11310,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي جرير
