,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
35,Kudu - Al Wurud,9200 06999,4.0,1024,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الياسمين
36,KFC,9200 21111,3.6,1311,46.713719,24.6382089,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
37,Sheikh Al-Mandi Restaurant,011 464 4099,3.5,2022,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
38,Herfy,9200 01111,3.8,896,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
39,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 449 6563,3.9,790,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
40,برجر كاسل,011 281 8775,4.1,1057,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
41,Subway,,3.7,452,46.7834343,24.7289012,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
42,وايت قاردن,011 462 7799,4.2,4534,46.6836945,24.6943084,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",حي الياسمين
43,Burger King - Exit 28,,3.8,1294,46.6212052,24.5681274,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
44,Al Tazaj,9200 00765,3.6,4796,46.6443952,24.6002206,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
45,McDonald's,800 121 2345,3.7,2042,46.640038,24.598766,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
46,McDonald's,800 121 2345,3.9,3568,46.794646,24.713222,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
47,Herfy,9200 01111,3.5,746,46.675,24.6755556,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
48,Fairmont Riyadh,011 826 2626,4.7,5105,46.7182893,24.8082207,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
49,Subway,,3.8,341,46.65607869999999,24.608878,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
50,Burger King - Exit 8 Dammam Rd,,3.7,1210,46.743149,24.800591,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
51,Al Romansiah,9200 00144,4.2,9584,46.7069578,24.5620929,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
52,KFC,9200 21111,3.8,1219,46.6889225,24.62540690000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
53,Herfy,9200 01111,3.6,872,46.750084,24.7795459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
54,Al Romansiah Restaurant - Al Nasseem District,9200 00144,4.2,8154,46.81462699999999,24.7335149,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
55,KFC,9200 21111,3.5,1825,46.76440969999999,24.7327532,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
56,Herfy,9200 01111,3.8,1081,46.7975115,24.7809607,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
57,Burger King - Rawdah,,3.7,1370,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الياسمين
58,KFC,9200 21111,3.8,2246,46.6647609,24.7045778,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
59,Pizza Era,011 453 9338,3.9,401,46.6423155,24.8200347,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الياسمين
60,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
61,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
62,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
63,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
64,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
65,Najd Village,9200 33511,3.9,11310,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
66,Wooden Bakery,050 133 8321,4.3,10550,46.7226815,24.6941192,"['bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",حي الندى
67,Najd Village,9200 33511,3.8,8468,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
68,KFC,9200 21111,3.7,2198,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
69,McDonald's,800 121 2345,3.9,2735,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
70,Domino's Pizza,9200 12345,3.8,589,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
71,Mama Noura,9200 12026,4.3,23691,46.70188479999999,24.6916263,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
72,Burger King - Al Quds,,3.6,1707,46.740762,24.75733899999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
73,Derati Restaurant,011 202 0203,3.7,1331,46.58854249999999,24.6368753,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
74,Kudu - Al Rayyan,9200 06999,3.8,1803,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الندى
75,Dominos,9200 12345,3.8,639,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
76,Derati Restaurants & Kitchens,9200 08273,3.8,994,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
77,Hardee's,9200 01213,3.3,827,46.6436339,24.6008518,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
78,KFC,9200 21111,3.5,975,46.6441676,24.6004069,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
79,Kudu - Al Malaz,9200 06999,3.9,1944,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الندى
80,قصر الهند,011 278 2394,3.8,6168,46.75289959999999,24.75744370000001,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
81,Mama Noura,011 266 6623,4.1,11464,46.6653609,24.5717473,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
82,Herfy,9200 01111,3.8,1376,46.6983362,24.6940569,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
83,Al Jalab Restaurant,011 450 7979,4.3,1543,46.6870006,24.7337823,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
84,Al Romansiah,9200 00144,4.1,8499,46.81412389999999,24.7587183,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
85,Herfy,9200 01111,3.7,380,46.6575254,24.7559561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
86,Diet Center - دايت سنتر,9200 17373,4.1,74,46.784153,24.681048,"['grocery_or_supermarket', 'health', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",حي الندى
87,Kudu - Al Seteen Palace,9200 06999,3.9,2399,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الندى
88,KFC,9200 21111,3.6,1452,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
89,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 455 9562,3.7,649,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
90,Burger King - Bin Turkey,,3.7,681,46.619087,24.746228,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
91,Al Saudi Restaurant,9200 09515,3.9,4618,46.70311350000001,24.6957429,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
92,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 470 7591,3.9,719,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
93,Al Nafoura Restaurant,011 267 0815,3.3,1007,46.6251475,24.5884052,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
94,TOKYO,9200 09662,4.3,7203,46.68670509999999,24.7181459,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
95,KFC,9200 21111,3.6,1311,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
96,Kudu - Al Wurud,9200 06999,4.0,1024,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الندى
97,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 449 6563,3.9,790,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
98,Sheikh Al-Mandi Restaurant,011 464 4099,3.5,2022,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
99,Herfy,9200 01111,3.8,896,46.6736126,24.7609124,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
100,Subway,,3.7,452,46.7834343,24.7289012,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
101,برجر كاسل,011 281 8775,4.1,1057,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
102,Burger King - Exit 28,,3.8,1294,46.6212052,24.5681274,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
103,وايت قاردن,011 462 7799,4.2,4534,46.6836945,24.6943084,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",حي الندى
104,Al Tazaj,9200 00765,3.6,4796,46.6443952,24.6002206,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
105,Al Romansiah,9200 00144,4.2,9584,46.7069578,24.5620929,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
106,McDonald's,800 121 2345,3.7,2042,46.640038,24.598766,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
107,McDonald's,800 121 2345,3.9,3568,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
108,Herfy,9200 01111,3.5,746,46.675,24.6755556,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
109,Fairmont Riyadh,011 826 2626,4.7,5105,46.7182893,24.8082207,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
110,Subway,,3.8,341,46.65607869999999,24.608878,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
111,KFC,9200 21111,3.8,1219,46.6889225,24.62540690000001,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
112,Burger King - Exit 8 Dammam Rd,,3.7,1210,46.743149,24.800591,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
113,Al Romansiah Restaurant - Al Nasseem District,9200 00144,4.2,8154,46.81462699999999,24.7335149,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
114,Herfy,9200 01111,3.6,872,46.750084,24.7795459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
115,Herfy,9200 01111,3.8,1081,46.7975115,24.7809607,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
116,KFC,9200 21111,3.5,1825,46.76440969999999,24.7327532,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الندى
117,Al Romansiah,9200 00144,4.2,9460,46.792399,24.695811,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
118,Burger King - Rawdah,,3.7,1370,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
119,KFC,9200 21111,3.8,2246,46.6647609,24.7045778,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الندى
120,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
121,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
122,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
123,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
124,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
125,Najd Village,9200 33511,3.9,11310,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
126,Wooden Bakery,050 133 8321,4.3,10550,46.7226815,24.6941192,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",حي القيروان
127,Najd Village,9200 33511,3.8,8468,46.66923329999999,24.6976883,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
128,Domino's Pizza,9200 12345,3.8,589,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
129,KFC,9200 21111,3.7,2198,46.737091,24.59506409999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
130,McDonald's,800 121 2345,3.9,2735,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
131,Mama Noura,9200 12026,4.3,23691,46.70188479999999,24.6916263,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
132,Burger King - Al Quds,,3.6,1707,46.740762,24.75733899999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
133,Derati Restaurant,011 202 0203,3.7,1331,46.58854249999999,24.6368753,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
134,Kudu - Al Rayyan,9200 06999,3.8,1803,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي القيروان
135,Dominos,9200 12345,3.8,639,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
136,Hardee's,9200 01213,3.3,827,46.6436339,24.6008518,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
137,KFC,9200 21111,3.5,975,46.6441676,24.6004069,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
138,Derati Restaurants & Kitchens,9200 08273,3.8,994,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
139,Kudu - Al Malaz,9200 06999,3.9,1944,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي القيروان
140,قصر الهند,011 278 2394,3.8,6168,46.75289959999999,24.75744370000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
141,Herfy,9200 01111,3.8,1376,46.6983362,24.6940569,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
142,Al Jalab Restaurant,011 450 7979,4.3,1543,46.6870006,24.7337823,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
143,Herfy,9200 01111,3.7,380,46.6575254,24.7559561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
144,Mama Noura,011 266 6623,4.1,11464,46.6653609,24.5717473,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
145,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 455 9562,3.7,649,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
146,Burger King - Bin Turkey,,3.7,681,46.619087,24.746228,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
147,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 470 7591,3.9,719,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
148,Al Romansiah,9200 00144,4.1,8499,46.81412389999999,24.7587183,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
149,Al Saudi Restaurant,9200 09515,3.9,4618,46.70311350000001,24.6957429,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
150,Kudu - Al Seteen Palace,9200 06999,3.9,2399,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي القيروان
151,TOKYO,9200 09662,4.3,7203,46.68670509999999,24.7181459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
152,Kudu - Al Wurud,9200 06999,4.0,1024,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي القيروان
153,Herfy,9200 01111,3.8,896,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
154,برجر كاسل,011 281 8775,4.1,1057,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
155,Sheikh Al-Mandi Restaurant,011 464 4099,3.5,2022,46.70186499999999,24.693749,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
156,وايت قاردن,011 462 7799,4.2,4534,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'point_of_interest', 'food', 'establishment']",حي القيروان
157,Subway,,3.7,452,46.7834343,24.7289012,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
158,Diet Center - دايت سنتر,9200 17373,4.1,74,46.784153,24.681048,"['grocery_or_supermarket', 'health', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
159,Fairmont Riyadh,011 826 2626,4.7,5105,46.7182893,24.8082207,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
160,KFC,9200 21111,3.6,1452,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
161,Burger King - Exit 8 Dammam Rd,,3.7,1210,46.743149,24.800591,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
162,KFC,9200 21111,3.6,1311,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
163,Herfy,9200 01111,3.5,746,46.675,24.6755556,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
164,Pizza Era,011 453 9338,3.9,401,46.6423155,24.8200347,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
165,Al Romansiah,9200 00144,4.2,11683,46.63529399999999,24.783657,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
166,Herfy,9200 01111,3.6,872,46.750084,24.7795459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
167,KFC,9200 21111,3.8,2246,46.6647609,24.7045778,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
168,Shawarmer | شاورمر,9200 08080,3.9,1911,46.6338494,24.7133267,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
169,Herfy,9200 01111,3.8,1081,46.7975115,24.7809607,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
170,McDonald's,800 121 2345,3.9,3568,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
171,Burger King - Riyadh Gallery 2,,3.7,1983,46.657895,24.741256,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
172,KFC,9200 21111,3.5,1825,46.76440969999999,24.7327532,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
173,Burger King - Rawdah,,3.7,1370,46.76226500000001,24.735643,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القيروان
174,Al Nafoura Restaurant,011 267 0815,3.3,1007,46.6251475,24.5884052,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
175,Herfy,9200 01111,3.8,989,46.6905001,24.7200236,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
176,Herfy,9200 01111,3.7,1490,46.60467529999999,24.8031675,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
177,Burger King - Ghernata,,3.8,1074,46.74147,24.78142100000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
178,Hardee's,9200 01213,3.7,1075,46.7436203,24.80089,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
179,McDonald's,800 121 2345,4.0,2311,46.652378,24.683756,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القيروان
180,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي حطين
181,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي حطين
182,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي حطين
183,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي حطين
184,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي حطين
185,Najd Village,9200 33511,3.9,11310,46.70469529999999,24.7426043,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي حطين
186,Wooden Bakery,050 133 8321,4.3,10550,46.7226815,24.6941192,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",حي حطين
